classifier_name,dataset_name,accuracy
KG-MTP,ACSF1,0.854333333
KG-MTP,Adiac,0.83597613
KG-MTP,ArrowHead,0.899047619
KG-MTP,Beef,0.797777778
KG-MTP,BeetleFly,0.918333333
KG-MTP,BirdChicken,0.906666667
KG-MTP,BME,1
KG-MTP,Car,0.930555556
KG-MTP,CBF,0.996703704
KG-MTP,Chinatown,0.969290573
KG-MTP,ChlorineConcentration,0.782907986
KG-MTP,CinCECGTorso,0.974661836
KG-MTP,Coffee,1
KG-MTP,Computers,0.874933333
KG-MTP,CricketX,0.836581197
KG-MTP,CricketY,0.86042735
KG-MTP,CricketZ,0.857094017
KG-MTP,Crop,0.773587302
KG-MTP,DiatomSizeReduction,0.95130719
KG-MTP,DistalPhalanxOutlineAgeGroup,0.814628297
KG-MTP,DistalPhalanxOutlineCorrect,0.843719807
KG-MTP,DistalPhalanxTW,0.702877698
KG-MTP,Earthquakes,0.748441247
KG-MTP,ECG200,0.895333333
KG-MTP,ECG5000,0.947318519
KG-MTP,ECGFiveDays,0.992837786
KG-MTP,ElectricDevices,0.911753772
KG-MTP,EOGHorizontalSignal,0.851197053
KG-MTP,EOGVerticalSignal,0.799815838
KG-MTP,EthanolLevel,0.732466667
KG-MTP,FaceAll,0.987672584
KG-MTP,FaceFour,0.904924242
KG-MTP,FacesUCR,0.96998374
KG-MTP,FiftyWords,0.848498168
KG-MTP,Fish,0.983428571
KG-MTP,FordA,0.961666667
KG-MTP,FordB,0.933786008
KG-MTP,FreezerRegularTrain,0.999146199
KG-MTP,FreezerSmallTrain,0.992128655
KG-MTP,GunPoint,0.997777778
KG-MTP,GunPointAgeSpan,0.996518987
KG-MTP,GunPointMaleVersusFemale,1
KG-MTP,GunPointOldVersusYoung,1
KG-MTP,Ham,0.858730159
KG-MTP,HandOutlines,0.95036036
KG-MTP,Haptics,0.558333333
KG-MTP,Herring,0.623958333
KG-MTP,HouseTwenty,0.980112045
KG-MTP,InlineSkate,0.502242424
KG-MTP,InsectEPGRegularTrain,1
KG-MTP,InsectEPGSmallTrain,0.997456493
KG-MTP,InsectWingbeatSound,0.668905724
KG-MTP,ItalyPowerDemand,0.960997732
KG-MTP,LargeKitchenAppliances,0.948088889
KG-MTP,Lightning2,0.781967213
KG-MTP,Lightning7,0.8
KG-MTP,Mallat,0.967377399
KG-MTP,Meat,0.985
KG-MTP,MedicalImages,0.822236842
KG-MTP,MiddlePhalanxOutlineAgeGroup,0.724025974
KG-MTP,MiddlePhalanxOutlineCorrect,0.846620848
KG-MTP,MiddlePhalanxTW,0.58982684
KG-MTP,MixedShapesRegularTrain,0.983986254
KG-MTP,MixedShapesSmallTrain,0.962226804
KG-MTP,MoteStrain,0.915308839
KG-MTP,NonInvasiveFetalECGThorax1,0.964122137
KG-MTP,NonInvasiveFetalECGThorax2,0.969228159
KG-MTP,OliveOil,0.905555556
KG-MTP,OSULeaf,0.974242424
KG-MTP,PhalangesOutlinesCorrect,0.856099456
KG-MTP,Phoneme,0.346132208
KG-MTP,PigAirwayPressure,0.784775641
KG-MTP,PigArtPressure,0.951282051
KG-MTP,PigCVP,0.890224359
KG-MTP,Plane,1
KG-MTP,PowerCons,0.972037037
KG-MTP,ProximalPhalanxOutlineAgeGroup,0.857723577
KG-MTP,ProximalPhalanxOutlineCorrect,0.90652921
KG-MTP,ProximalPhalanxTW,0.811544715
KG-MTP,RefrigerationDevices,0.807288889
KG-MTP,Rock,0.871333333
KG-MTP,ScreenType,0.694755556
KG-MTP,SemgHandGenderCh2,0.953333333
KG-MTP,SemgHandMovementCh2,0.798814815
KG-MTP,SemgHandSubjectCh2,0.930888889
KG-MTP,ShapeletSim,1
KG-MTP,ShapesAll,0.955666667
KG-MTP,SmallKitchenAppliances,0.843288889
KG-MTP,SmoothSubspace,0.988
KG-MTP,SonyAIBORobotSurface1,0.950915141
KG-MTP,SonyAIBORobotSurface2,0.959146555
KG-MTP,StarLightCurves,0.981281366
KG-MTP,Strawberry,0.98036036
KG-MTP,SwedishLeaf,0.97664
KG-MTP,Symbols,0.96040201
KG-MTP,SyntheticControl,0.996222222
KG-MTP,ToeSegmentation1,0.943859649
KG-MTP,ToeSegmentation2,0.958974359
KG-MTP,Trace,1
KG-MTP,TwoLeadECG,0.997278314
KG-MTP,TwoPatterns,1
KG-MTP,UMD,0.988425926
KG-MTP,UWaveGestureLibraryAll,0.983994044
KG-MTP,UWaveGestureLibraryX,0.878308208
KG-MTP,UWaveGestureLibraryY,0.809947888
KG-MTP,UWaveGestureLibraryZ,0.822352503
KG-MTP,Wafer,0.999978369
KG-MTP,Wine,0.933333333
KG-MTP,WordSynonyms,0.788401254
KG-MTP,Worms,0.757575758
KG-MTP,WormsTwoClass,0.797402597
KG-MTP,Yoga,0.951611111
Hydra+KG-MTP_PF,ACSF1,0.844666667
Hydra+KG-MTP_PF,Adiac,0.835123615
Hydra+KG-MTP_PF,ArrowHead,0.896761905
Hydra+KG-MTP_PF,Beef,0.794444444
Hydra+KG-MTP_PF,BeetleFly,0.928333333
Hydra+KG-MTP_PF,BirdChicken,0.908333333
Hydra+KG-MTP_PF,BME,1
Hydra+KG-MTP_PF,Car,0.929444444
Hydra+KG-MTP_PF,CBF,0.996259259
Hydra+KG-MTP_PF,Chinatown,0.96851312
Hydra+KG-MTP_PF,ChlorineConcentration,0.776328125
Hydra+KG-MTP_PF,CinCECGTorso,0.974468599
Hydra+KG-MTP_PF,Coffee,1
Hydra+KG-MTP_PF,Computers,0.871733333
Hydra+KG-MTP_PF,CricketX,0.834017094
Hydra+KG-MTP_PF,CricketY,0.862307692
Hydra+KG-MTP_PF,CricketZ,0.854017094
Hydra+KG-MTP_PF,Crop,0.773593254
Hydra+KG-MTP_PF,DiatomSizeReduction,0.950326797
Hydra+KG-MTP_PF,DistalPhalanxOutlineAgeGroup,0.81558753
Hydra+KG-MTP_PF,DistalPhalanxOutlineCorrect,0.843115942
Hydra+KG-MTP_PF,DistalPhalanxTW,0.702398082
Hydra+KG-MTP_PF,Earthquakes,0.748441247
Hydra+KG-MTP_PF,ECG200,0.897
Hydra+KG-MTP_PF,ECG5000,0.946955556
Hydra+KG-MTP_PF,ECGFiveDays,0.994850949
Hydra+KG-MTP_PF,ElectricDevices,0.907465525
Hydra+KG-MTP_PF,EOGHorizontalSignal,0.859023941
Hydra+KG-MTP_PF,EOGVerticalSignal,0.812799263
Hydra+KG-MTP_PF,EthanolLevel,0.7244
Hydra+KG-MTP_PF,FaceAll,0.987317554
Hydra+KG-MTP_PF,FaceFour,0.900757576
Hydra+KG-MTP_PF,FacesUCR,0.969398374
Hydra+KG-MTP_PF,FiftyWords,0.848205128
Hydra+KG-MTP_PF,Fish,0.983428571
Hydra+KG-MTP_PF,FordA,0.96479798
Hydra+KG-MTP_PF,FordB,0.934691358
Hydra+KG-MTP_PF,FreezerRegularTrain,0.999157895
Hydra+KG-MTP_PF,FreezerSmallTrain,0.991894737
Hydra+KG-MTP_PF,GunPoint,0.997777778
Hydra+KG-MTP_PF,GunPointAgeSpan,0.996308017
Hydra+KG-MTP_PF,GunPointMaleVersusFemale,1
Hydra+KG-MTP_PF,GunPointOldVersusYoung,1
Hydra+KG-MTP_PF,Ham,0.850793651
Hydra+KG-MTP_PF,HandOutlines,0.952342342
Hydra+KG-MTP_PF,Haptics,0.55508658
Hydra+KG-MTP_PF,Herring,0.622395833
Hydra+KG-MTP_PF,HouseTwenty,0.977030812
Hydra+KG-MTP_PF,InlineSkate,0.498909091
Hydra+KG-MTP_PF,InsectEPGRegularTrain,1
Hydra+KG-MTP_PF,InsectEPGSmallTrain,0.998125837
Hydra+KG-MTP_PF,InsectWingbeatSound,0.664292929
Hydra+KG-MTP_PF,ItalyPowerDemand,0.961678005
Hydra+KG-MTP_PF,LargeKitchenAppliances,0.942844444
Hydra+KG-MTP_PF,Lightning2,0.792896175
Hydra+KG-MTP_PF,Lightning7,0.797260274
Hydra+KG-MTP_PF,Mallat,0.969296375
Hydra+KG-MTP_PF,Meat,0.984444444
Hydra+KG-MTP_PF,MedicalImages,0.821315789
Hydra+KG-MTP_PF,MiddlePhalanxOutlineAgeGroup,0.723809524
Hydra+KG-MTP_PF,MiddlePhalanxOutlineCorrect,0.847193585
Hydra+KG-MTP_PF,MiddlePhalanxTW,0.587445887
Hydra+KG-MTP_PF,MixedShapesRegularTrain,0.983491409
Hydra+KG-MTP_PF,MixedShapesSmallTrain,0.963271478
Hydra+KG-MTP_PF,MoteStrain,0.91243344
Hydra+KG-MTP_PF,NonInvasiveFetalECGThorax1,0.965411366
Hydra+KG-MTP_PF,NonInvasiveFetalECGThorax2,0.97043257
Hydra+KG-MTP_PF,OliveOil,0.91
Hydra+KG-MTP_PF,OSULeaf,0.97630854
Hydra+KG-MTP_PF,PhalangesOutlinesCorrect,0.857381507
Hydra+KG-MTP_PF,Phoneme,0.351090014
Hydra+KG-MTP_PF,PigAirwayPressure,0.787339744
Hydra+KG-MTP_PF,PigArtPressure,0.951602564
Hydra+KG-MTP_PF,PigCVP,0.886858974
Hydra+KG-MTP_PF,Plane,1
Hydra+KG-MTP_PF,PowerCons,0.96962963
Hydra+KG-MTP_PF,ProximalPhalanxOutlineAgeGroup,0.856097561
Hydra+KG-MTP_PF,ProximalPhalanxOutlineCorrect,0.905956472
Hydra+KG-MTP_PF,ProximalPhalanxTW,0.811056911
Hydra+KG-MTP_PF,RefrigerationDevices,0.792977778
Hydra+KG-MTP_PF,Rock,0.871333333
Hydra+KG-MTP_PF,ScreenType,0.687377778
Hydra+KG-MTP_PF,SemgHandGenderCh2,0.955888889
Hydra+KG-MTP_PF,SemgHandMovementCh2,0.783925926
Hydra+KG-MTP_PF,SemgHandSubjectCh2,0.926444444
Hydra+KG-MTP_PF,ShapeletSim,1
Hydra+KG-MTP_PF,ShapesAll,0.956
Hydra+KG-MTP_PF,SmallKitchenAppliances,0.839555556
Hydra+KG-MTP_PF,SmoothSubspace,0.988666667
Hydra+KG-MTP_PF,SonyAIBORobotSurface1,0.947920133
Hydra+KG-MTP_PF,SonyAIBORobotSurface2,0.95498426
Hydra+KG-MTP_PF,StarLightCurves,0.981402785
Hydra+KG-MTP_PF,Strawberry,0.98027027
Hydra+KG-MTP_PF,SwedishLeaf,0.975946667
Hydra+KG-MTP_PF,Symbols,0.965728643
Hydra+KG-MTP_PF,SyntheticControl,0.995222222
Hydra+KG-MTP_PF,ToeSegmentation1,0.938157895
Hydra+KG-MTP_PF,ToeSegmentation2,0.95
Hydra+KG-MTP_PF,Trace,1
Hydra+KG-MTP_PF,TwoLeadECG,0.996634475
Hydra+KG-MTP_PF,TwoPatterns,1
Hydra+KG-MTP_PF,UMD,0.9875
Hydra+KG-MTP_PF,UWaveGestureLibraryAll,0.98393821
Hydra+KG-MTP_PF,UWaveGestureLibraryX,0.880830076
Hydra+KG-MTP_PF,UWaveGestureLibraryY,0.814768286
Hydra+KG-MTP_PF,UWaveGestureLibraryZ,0.824399777
Hydra+KG-MTP_PF,Wafer,0.999908068
Hydra+KG-MTP_PF,Wine,0.920987654
Hydra+KG-MTP_PF,WordSynonyms,0.787722048
Hydra+KG-MTP_PF,Worms,0.760606061
Hydra+KG-MTP_PF,WormsTwoClass,0.800865801
Hydra+KG-MTP_PF,Yoga,0.951677778
KG-MTP_PF,ACSF1,0.845666667
KG-MTP_PF,Adiac,0.8342711
KG-MTP_PF,ArrowHead,0.896
KG-MTP_PF,Beef,0.786666667
KG-MTP_PF,BeetleFly,0.915
KG-MTP_PF,BirdChicken,0.905
KG-MTP_PF,BME,1
KG-MTP_PF,Car,0.930555556
KG-MTP_PF,CBF,0.996481481
KG-MTP_PF,Chinatown,0.968610301
KG-MTP_PF,ChlorineConcentration,0.771484375
KG-MTP_PF,CinCECGTorso,0.961038647
KG-MTP_PF,Coffee,1
KG-MTP_PF,Computers,0.866133333
KG-MTP_PF,CricketX,0.836324786
KG-MTP_PF,CricketY,0.860512821
KG-MTP_PF,CricketZ,0.854871795
KG-MTP_PF,Crop,0.771035714
KG-MTP_PF,DiatomSizeReduction,0.94956427
KG-MTP_PF,DistalPhalanxOutlineAgeGroup,0.815107914
KG-MTP_PF,DistalPhalanxOutlineCorrect,0.843599034
KG-MTP_PF,DistalPhalanxTW,0.704796163
KG-MTP_PF,Earthquakes,0.748201439
KG-MTP_PF,ECG200,0.894333333
KG-MTP_PF,ECG5000,0.946888889
KG-MTP_PF,ECGFiveDays,0.993650794
KG-MTP_PF,ElectricDevices,0.904582199
KG-MTP_PF,EOGHorizontalSignal,0.855616943
KG-MTP_PF,EOGVerticalSignal,0.809208103
KG-MTP_PF,EthanolLevel,0.724466667
KG-MTP_PF,FaceAll,0.986923077
KG-MTP_PF,FaceFour,0.898863636
